# run49753 beginning time:1758443353 end time:1758444532
# Channel	Mean (ns)	Mean Error (ns)	Sigma (ns)	Sigma Error (ns)	Entries
# -----------------------------------------------------------------------
0	8.109524	0.00827346	0	0	115566
1	-10.638895	0.00858771	0	0	116326
2	-10.090786	0.00766713	0	0	116515
3	6.828783	0.00810093	0	0	116528
4	-5.797906	0.00834256	0	0	115673
5	5.647083	0.00758332	0	0	116009
6	-8.809186	0.00783237	0	0	114280
7	-6.397086	0.00759246	0	0	116160
8	-8.990279	0.0073226	0	0	116417
9	-7.974686	0.0072221	0	0	116589
10	9.009284	0.0073688	0	0	116503
11	8.536034	0.00716854	0	0	116436
12	-9.365709	0.00789021	0	0	116472
13	7.570184	0.00731824	0	0	116074
14	5.185714	0.00769415	0	0	115937
15	-8.499286	0.00741262	0	0	116497
16	7.957284	0.0071238	0	0	115698
17	-9.627899	0.00702575	0	0	116479
18	9.319734	0.00703041	0	0	116450
19	7.049878	0.00721508	0	0	116397
20	-8.995997	0.00817164	0	0	115573
21	7.652934	0.00793826	0	0	116357
22	7.273045	0.00772788	0	0	115416
23	-9.030319	0.00776871	0	0	116380
24	5.989022	0.00910215	0	0	115759
25	-10.135409	0.00793433	0	0	115628
26	0.000000	0	0	0	0
27	6.130870	0.00776371	0	0	114294
28	-8.949877	0.00765389	0	0	116079
29	0.000000	0	0	0	0
30	9.161614	0.00715782	0	0	116547
31	-5.932556	0.00743102	0	0	115869
32	9.377444	0.00742701	0	0	116475
33	-7.782536	0.00762062	0	0	116247
34	7.752094	0.0081574	0	0	116495
35	9.907834	0.00805953	0	0	116060
36	-8.015406	0.00796364	0	0	116200
37	7.325824	0.00808944	0	0	116348
38	0.000000	0	0	0	0
39	-6.232106	0.00768288	0	0	116220
40	7.938284	0.00714629	0	0	115906
41	-7.410106	0.00733051	0	0	116216
42	-5.563976	0.00707974	0	0	116473
43	9.443034	0.00743169	0	0	116384
44	-9.398959	0.00760828	0	0	116521
45	7.324484	0.00718378	0	0	116582
46	7.360354	0.00722749	0	0	116590
47	-10.691167	0.00717219	0	0	115632
48	10.699734	0.00736454	0	0	116117
49	-8.987806	0.00713025	0	0	116007
50	-6.813286	0.00720052	0	0	115655
51	6.162657	0.00740727	0	0	116116
52	8.630874	0.00754983	0	0	114712
53	8.264944	0.00722774	0	0	116475
54	0.000000	0	0	0	0
55	-9.369126	0.00769569	0	0	115559
56	8.908304	0.00789116	0	0	116449
57	-9.407104	0.00790654	0	0	115842
58	-9.957186	0.00800659	0	0	116139
59	8.347794	0.00799217	0	0	116352
